# Alias File
# Exported by : James
# Date/Time : February 10, 2008 8:04:17 PM
# Machine : HEINLEIN
"ac","Add-Content","","ReadOnly, AllScope"
"asnp","Add-PSSnapin","","ReadOnly, AllScope"
"clc","Clear-Content","","ReadOnly, AllScope"
"cli","Clear-Item","","ReadOnly, AllScope"
"clp","Clear-ItemProperty","","ReadOnly, AllScope"
"clv","Clear-Variable","","ReadOnly, AllScope"
"cpi","Copy-Item","","ReadOnly, AllScope"
"cpp","Copy-ItemProperty","","ReadOnly, AllScope"
"cvpa","Convert-Path","","ReadOnly, AllScope"
"diff","Compare-Object","","ReadOnly, AllScope"
"epal","Export-Alias","","ReadOnly, AllScope"
"epcsv","Export-Csv","","ReadOnly, AllScope"
"fc","Format-Custom","","ReadOnly, AllScope"
"fl","Format-List","","ReadOnly, AllScope"
"foreach","ForEach-Object","","ReadOnly, AllScope"
"%","ForEach-Object","","ReadOnly, AllScope"
"ft","Format-Table","","ReadOnly, AllScope"
"fw","Format-Wide","","ReadOnly, AllScope"
"gal","Get-Alias","","ReadOnly, AllScope"
"gc","Get-Content","","ReadOnly, AllScope"
"gci","Get-ChildItem","","ReadOnly, AllScope"
"gcm","Get-Command","","ReadOnly, AllScope"
"gdr","Get-PSDrive","","ReadOnly, AllScope"
"ghy","Get-History","","ReadOnly, AllScope"
"gi","Get-Item","","ReadOnly, AllScope"
"gl","Get-Location","","ReadOnly, AllScope"
"gm","Get-Member","","ReadOnly, AllScope"
"gp","Get-ItemProperty","","ReadOnly, AllScope"
"gps","Get-Process","","ReadOnly, AllScope"
"group","Group-Object","","ReadOnly, AllScope"
"gsv","Get-Service","","ReadOnly, AllScope"
"gsnp","Get-PSSnapin","","ReadOnly, AllScope"
"gu","Get-Unique","","ReadOnly, AllScope"
"gv","Get-Variable","","ReadOnly, AllScope"
"gwmi","Get-WmiObject","","ReadOnly, AllScope"
"iex","Invoke-Expression","","ReadOnly, AllScope"
"ihy","Invoke-History","","ReadOnly, AllScope"
"ii","Invoke-Item","","ReadOnly, AllScope"
"ipal","Import-Alias","","ReadOnly, AllScope"
"ipcsv","Import-Csv","","ReadOnly, AllScope"
"mi","Move-Item","","ReadOnly, AllScope"
"mp","Move-ItemProperty","","ReadOnly, AllScope"
"nal","New-Alias","","ReadOnly, AllScope"
"ndr","New-PSDrive","","ReadOnly, AllScope"
"ni","New-Item","","ReadOnly, AllScope"
"nv","New-Variable","","ReadOnly, AllScope"
"oh","Out-Host","","ReadOnly, AllScope"
"rdr","Remove-PSDrive","","ReadOnly, AllScope"
"ri","Remove-Item","","ReadOnly, AllScope"
"rni","Rename-Item","","ReadOnly, AllScope"
"rnp","Rename-ItemProperty","","ReadOnly, AllScope"
"rp","Remove-ItemProperty","","ReadOnly, AllScope"
"rsnp","Remove-PSSnapin","","ReadOnly, AllScope"
"rv","Remove-Variable","","ReadOnly, AllScope"
"rvpa","Resolve-Path","","ReadOnly, AllScope"
"sal","Set-Alias","","ReadOnly, AllScope"
"sasv","Start-Service","","ReadOnly, AllScope"
"sc","Set-Content","","ReadOnly, AllScope"
"select","Select-Object","","ReadOnly, AllScope"
"si","Set-Item","","ReadOnly, AllScope"
"sl","Set-Location","","ReadOnly, AllScope"
"sleep","Start-Sleep","","ReadOnly, AllScope"
"sort","Sort-Object","","ReadOnly, AllScope"
"sp","Set-ItemProperty","","ReadOnly, AllScope"
"spps","Stop-Process","","ReadOnly, AllScope"
"spsv","Stop-Service","","ReadOnly, AllScope"
"sv","Set-Variable","","ReadOnly, AllScope"
"tee","Tee-Object","","ReadOnly, AllScope"
"where","Where-Object","","ReadOnly, AllScope"
"?","Where-Object","","ReadOnly, AllScope"
"write","Write-Output","","ReadOnly, AllScope"
"cat","Get-Content","","AllScope"
"cd","Set-Location","","AllScope"
"clear","Clear-Host","","AllScope"
"cp","Copy-Item","","AllScope"
"h","Get-History","","AllScope"
"history","Get-History","","AllScope"
"kill","Stop-Process","","AllScope"
"lp","Out-Printer","","AllScope"
"ls","Get-ChildItem","","AllScope"
"mount","New-PSDrive","","AllScope"
"mv","Move-Item","","AllScope"
"popd","Pop-Location","","AllScope"
"ps","Get-Process","","AllScope"
"pushd","Push-Location","","AllScope"
"pwd","Get-Location","","AllScope"
"r","Invoke-History","","AllScope"
"rm","Remove-Item","","AllScope"
"rmdir","Remove-Item","","AllScope"
"echo","Write-Output","","AllScope"
"cls","Clear-Host","","AllScope"
"chdir","Set-Location","","AllScope"
"copy","Copy-Item","","AllScope"
"del","Remove-Item","","AllScope"
"dir","Get-ChildItem","","AllScope"
"erase","Remove-Item","","AllScope"
"move","Move-Item","","AllScope"
"rd","Remove-Item","","AllScope"
"ren","Rename-Item","","AllScope"
"set","Set-Variable","","AllScope"
"type","Get-Content","","AllScope"
